HCHO Reading,Location,Current Date,Next Date,Precipitation,Wind Direction,Latitude,Longitude,Elevation
-6.108415254857391e-05,NUWARA ELIYA,2019-08-06,2019-08-07,1.75,238.56,6.9497,80.7891,681.44
8.792586073765203e-05,NUWARA ELIYA,2019-08-07,2019-08-08,6.69,229.38,6.9497,80.7891,681.44
8.792586073765203e-05,NUWARA ELIYA,2019-08-08,2019-08-09,16.13,246.5,6.9497,80.7891,681.44
8.792586073765203e-05,NUWARA ELIYA,2019-08-09,2019-08-10,5.18,254.31,6.9497,80.7891,681.44
8.792586073765203e-05,NUWARA ELIYA,2019-08-10,2019-08-11,11.85,262.06,6.9497,80.7891,681.44
8.792586073765203e-05,NUWARA ELIYA,2019-08-11,2019-08-12,5.67,270.62,6.9497,80.7891,681.44
8.792586073765203e-05,NUWARA ELIYA,2019-08-12,2019-08-13,3.19,267.5,6.9497,80.7891,681.44
8.792586073765203e-05,NUWARA ELIYA,2019-08-13,2019-08-14,18.44,255.44,6.9497,80.7891,681.44
8.792586073765203e-05,NUWARA ELIYA,2019-08-14,2019-08-15,8.86,259.5,6.9497,80.7891,681.44
8.792586073765203e-05,NUWARA ELIYA,2019-08-15,2019-08-16,0.29,260.62,6.9497,80.7891,681.44
8.792586073765203e-05,NUWARA ELIYA,2019-08-16,2019-08-17,7.36,252.31,6.9497,80.7891,681.44
8.792586073765203e-05,NUWARA ELIYA,2019-08-17,2019-08-18,4.05,249.0,6.9497,80.7891,681.44
3.799505288802035e-05,NUWARA ELIYA,2019-08-18,2019-08-19,2.32,242.75,6.9497,80.7891,681.44
8.792586073765203e-05,NUWARA ELIYA,2019-08-19,2019-08-20,4.74,230.69,6.9497,80.7891,681.44
8.792586073765203e-05,NUWARA ELIYA,2019-08-20,2019-08-21,3.63,235.19,6.9497,80.7891,681.44
8.792586073765203e-05,NUWARA ELIYA,2019-08-21,2019-08-22,5.39,242.56,6.9497,80.7891,681.44
8.792586073765203e-05,NUWARA ELIYA,2019-08-22,2019-08-23,9.49,245.06,6.9497,80.7891,681.44
8.792586073765203e-05,NUWARA ELIYA,2019-08-23,2019-08-24,6.59,242.81,6.9497,80.7891,681.44
-3.316495323904968e-05,NUWARA ELIYA,2019-08-24,2019-08-25,4.68,238.25,6.9497,80.7891,681.44
8.792586073765203e-05,NUWARA ELIYA,2019-08-25,2019-08-26,8.31,237.88,6.9497,80.7891,681.44
8.792586073765203e-05,NUWARA ELIYA,2019-08-26,2019-08-27,5.36,235.12,6.9497,80.7891,681.44
